customer_id,name,email,age,city,spend
101,Alice Johnson,alice@email.com,34,New York,250.00
102,Bob Smith,bob@email.com,28,Chicago,180.50
103,Carol White,carol@email.com,45,Houston,320.00
101,Alice Johnson,alice@email.com,34,New York,250.00
104,David Brown,david@email.com,52,Phoenix,410.75
102,Bob Smith,bob@email.com,28,Chicago,180.50
105,Eve Davis,eve@email.com,29,Chicago,95.00
106,Frank Miller,frank@email.com,38,New York,530.00
103,carol white,carol@email.com,45,Houston,320.00
107,Grace Lee,grace@email.com,31,Phoenix,210.00
104,David Brown,david@email.com,52,Phoenix,410.75
108,Henry Wilson,henry@email.com,47,Chicago,175.25
105,Eve Davis,eve@email.com,29,Chicago,95.00
109,Isla Thomas,isla@email.com,26,New York,310.00
106,Frank Miller,frank@email.com,38,New York,530.00
110,Jack Moore,jack@email.com,33,Houston,440.00
103,Carol White,carol@email.com,45,Houston,320.00
